player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
5231,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,166,3,0,0,275,45,11,10.75826509,0,0,34.6,53.6,12,0.07239819005,0.07571585903,0.04197761194,0.1691699723,0.05771905424,0.15,0.07284768212,0.08187134503,0.1038595271,0.07617524339,0.3755656109,0.0493309036
5720,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,173,0,0,0,646,18,9,15.01917505,0,0,17.3,29.3,10,0.104109589,0.1904481132,0.01501251043,0.3085228741,0.0644080417,0,0.075,0.06923076923,0.03220402085,0.05152643336,0.4739726027,0.03631001066
6101,2010,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,108,656,6,0,0,843,191,39,24.92828517,0,0,101.6,171.6,16,0.1871750433,0.1754422477,0.1398243045,0.4211163631,0.1761073826,0.2142857143,0.195,0.1973684211,0.1951965484,0.1837430489,1.136915078,0.1203703704
6101,2011,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,116,875,7,0,0,1037,243,53,45.421444,0,0,129.5,209.5,16,0.1952861953,0.1946321321,0.1360582307,0.4486349986,0.2004581901,0.2413793103,0.2465116279,0.2459016393,0.2209187502,0.2086424142,1.473063973,0.1402745229
6101,2012,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,124,930,8,0,0,965,252,65,61.1236635,0,0,141,234,16,0.2016260163,0.1928457234,0.1222707424,0.4567156031,0.1970756516,0.25,0.2642276423,0.2625899281,0.2235378258,0.2076605213,1.512195122,0.1482551509
6101,2013,REG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,121,859,8,0,0,964,224,56,50.20375684,1,0,135.9,218.9,16,0.1838905775,0.2150825524,0.105065666,0.4479019082,0.1888327105,0.3076923077,0.2466960352,0.2529644269,0.2482625091,0.2126046299,1.305471125,0.1475504867
7091,2010,REG,266,444,3001,12,17,29,175,6,5,3870,1266,136,18.81007123,0,0.9582389384,23,60,3,1,0,8,0.9034118005,0,0,0,0,0,0,0,0,0,0,0,0,0,148.04,148.04,14,0,0,0,0,0,0,0,0,0,0,0,0.1418360894
7091,2011,REG,319,518,3571,18,14,19,153,4,1,4129,1631,163,7.898979828,0,1.270972355,20,52,0,0,0,4,3.240251584,0,0,0,0,0,0,0,0,0,0,0,0,0,190.04,190.04,16,0,0,0,0,0,0,0,0,0,0,0,0.1445588839
7091,2012,REG,138,221,1367,7,5,14,103,2,1,1707,557,71,14.85631013,1,0.3713525795,13,38,0,1,0,2,1.393366761,0,0,0,0,0,0,0,0,0,0,0,0,0,76.48,76.48,8,0,0,0,0,0,0,0,0,0,0,0,0.1204068138
7091,2013,REG,7,12,130,0,1,0,0,0,0,77,90,6,3.809971997,0,0.05993200586,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0.009947609258
