Name,Position,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa
Van Jefferson,WR,36415,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,2,20.0,0,0.0,0.0,1.0,1.35502027976327,0,50,89,802.0,6,0.0,0.0,1195.0,220.0,32.0,33.4069923770251,0,13.154976523365,2.4482135408004,3.94225453388161,6.43189848491773,0.0,17,0.14662273476112,0.232761978963771,0.102948058025269,0.406143685312697,0.163907623135091,0.146341463414634,0.137339055793991,0.138686131386861,0.155124543274863,0.160394391191,1.32125205930807
Adam Trautman,TE,36422,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,27,43,263.0,2,1.0,1.0,245.0,111.0,13.0,-7.43174184137413,0,15.8114390575942,1.40886440250571,1.02493776224088,2.83075303732718,0.0,11,0.125730994152047,0.0884157343919163,0.104127579737336,0.259329078741603,0.111111111111111,0.08,0.10655737704918,0.102040816326531,0.0955555555555556,0.104888888888889,0.769005847953216
Albert Okwuegbunam,TE,36423,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,33,40,330.0,2,1.0,1.0,226.0,245.0,15.0,13.599486835156,0,33.9208333333333,1.40370149054292,0.981948389178742,2.7929161082395,0.0,13,0.101010101010101,0.0687347931873479,0.179093567251462,0.20650298606503,0.115022655977693,0.153846153846154,0.118110236220472,0.121428571428571,0.134434404911923,0.122787355551385,0.833333333333333
Brycen Hopkins,TE,36424,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,9.0,0,0.0,0.0,3.0,6.0,1.0,1.65918135293759,0,3.0,0.0344827586206897,0.0130434782608696,0.0608545727136432,0.0,1,0.0344827586206897,0.0130434782608696,0.0566037735849057,0.0621589205397301,0.0368852459016393,0.0,0.0909090909090909,0.0769230769230769,0.0184426229508197,0.0295081967213115,0.310344827586207
DeeJay Dallas,RB,36425,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,33,138.0,2,0.0,0.0,10.0,1.89191839915345,0,21,23,133.0,0,1.0,0.0,39.0,110.0,4.0,-5.36754088419564,0,5.78373015873016,0.803704983785629,0.153930540896235,1.31330885430581,0.0,11,0.0741935483870968,0.0131801284217641,0.107843137254902,0.121834425318056,0.053933495539335,0.0,0.0363636363636364,0.0303030303030303,0.0269667477696675,0.043146796431468,0.429032258064516
Tyler Johnson,WR,36427,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,36,55,360.0,0,0.0,0.0,432.0,137.0,14.0,7.48726686744244,0,15.2088060033954,1.28811468164606,1.17929979110244,2.75768187624081,0.0,15,0.0835866261398176,0.080672268907563,0.0595911265767725,0.189917754335777,0.0741656365883807,0.0,0.0573770491803279,0.0492957746478873,0.0370828182941904,0.0593325092707046,0.547112462006079
Charlie Woerner,TE,36429,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,6,52.0,0,0.0,0.0,52.0,9.0,3.0,2.71811267768499,0,4.47619047619048,0.222323972323972,0.216970538762586,0.485365335619768,0.0,4,0.0545454545454545,0.0534429599177801,0.0209302325581395,0.124572549752406,0.0562162162162162,0.0,0.0769230769230769,0.0731707317073171,0.0281081081081081,0.044972972972973,0.472727272727273
Stephen Sullivan,TE,36438,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,-2.0,0.0,0.0,-0.375625000917353,0,0.0,0.0232558139534884,-0.00552486187845304,0.0310163176153154,0.0,1,0.0222222222222222,-0.00515463917525773,0.0,0.0292096219931271,0.0,,0.0,0.0,,,0.0
Tyrie Cleveland,WR,36439,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-0.647225972032174,0,0.0,0.03125,0.028735632183908,0.0669899425287356,0.0,1,0.0303030303030303,0.028735632183908,0.0,0.0684430512016719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Burrow,QB,36442,2021,REG,366,520,4611.0,34,14.0,51.0,370.0,4,2,4225.0,2246.0,202.0,99.5450136223365,1,17.5995547278829,40,118.0,2,1.0,0.0,14.0,3.47052069223719,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
